geometry,crossroad_count,road_length,shop_count,residential_area,commercial_area,industrial_area,railway_station_count,bicycle_lane_length,bus_station_count
"POLYGON ((121.167919582103 30.98691269999999, 121.167919582103 31.00616356086033, 121.1454617 31.00616356086033, 121.1454617 30.98691269999999, 121.167919582103 30.98691269999999))",1,15247.38934196729,0,292940.9664053767,0.0,2179559.2641185746,0,0.0,14
"POLYGON ((121.167919582103 31.00616356086033, 121.167919582103 31.02541053512337, 121.1454617 31.02541053512337, 121.1454617 31.00616356086033, 121.167919582103 31.00616356086033))",4,35248.82634184015,0,51503.29835999333,0.0,3517750.1690140814,0,0.0,9
"POLYGON ((121.167919582103 31.02541053512337, 121.167919582103 31.04465362140231, 121.1454617 31.04465362140231, 121.1454617 31.02541053512337, 121.167919582103 31.02541053512337))",0,21776.74693543087,2,32498.893301893888,366907.74751403264,7240881.163970832,0,0.0,20
"POLYGON ((121.167919582103 31.04465362140231, 121.167919582103 31.0638928183124, 121.1454617 31.0638928183124, 121.1454617 31.04465362140231, 121.167919582103 31.04465362140231))",0,23080.76361451677,0,175008.55105828965,359636.8797362864,1329354.186839203,0,0.0,14
"POLYGON ((121.167919582103 31.0638928183124, 121.167919582103 31.0831281244709, 121.1454617 31.0831281244709, 121.1454617 31.0638928183124, 121.167919582103 31.0638928183124))",0,11345.666865621408,0,445650.7726363412,0.0,0.0,0,0.0,4
"POLYGON ((121.167919582103 31.0831281244709, 121.167919582103 31.10235953849711, 121.1454617 31.10235953849711, 121.1454617 31.0831281244709, 121.167919582103 31.0831281244709))",0,7658.539360183456,0,896363.0384047171,0.0,0.0,0,0.0,22
"POLYGON ((121.167919582103 31.10235953849711, 121.167919582103 31.12158705901236, 121.1454617 31.12158705901236, 121.1454617 31.10235953849711, 121.167919582103 31.10235953849711))",0,10161.185917461167,0,671704.7437424429,0.0,92766.89186628912,0,0.0,8
"POLYGON ((121.167919582103 31.12158705901236, 121.167919582103 31.14081068464005, 121.1454617 31.14081068464005, 121.1454617 31.12158705901236, 121.167919582103 31.12158705901236))",0,7545.3844629661,0,58278.05196171669,0.0,0.0,0,0.0,7
"POLYGON ((121.167919582103 31.14081068464005, 121.167919582103 31.16003041400555, 121.1454617 31.16003041400555, 121.1454617 31.14081068464005, 121.167919582103 31.14081068464005))",14,43696.25129249392,0,918520.4189335204,81866.12660695238,1104940.7770464788,0,12661.148956502853,57
"POLYGON ((121.167919582103 31.16003041400555, 121.167919582103 31.17924624573631, 121.1454617 31.17924624573631, 121.1454617 31.16003041400555, 121.167919582103 31.16003041400555))",0,76178.38965374508,1,470462.0317277939,0.0,2968884.9902332653,1,5078.7133961012205,53
"POLYGON ((121.167919582103 31.17924624573631, 121.167919582103 31.1984581784618, 121.1454617 31.1984581784618, 121.1454617 31.17924624573631, 121.167919582103 31.17924624573631))",4,17170.407127419578,0,0.0,0.0,2958803.060508103,0,0.0,18
"POLYGON ((121.167919582103 31.1984581784618, 121.167919582103 31.21766621081351, 121.1454617 31.21766621081351, 121.1454617 31.1984581784618, 121.167919582103 31.1984581784618))",0,24919.65618487147,1,35114.18160131537,0.0,419316.49877032416,0,0.0,7
"POLYGON ((121.167919582103 31.21766621081351, 121.167919582103 31.23687034142498, 121.1454617 31.23687034142498, 121.1454617 31.21766621081351, 121.167919582103 31.21766621081351))",0,23143.045404267148,0,127805.66424198428,0.0,81888.27718250963,0,0.0,14
