geometry,crossroad_count,road_length,shop_count,residential_area,commercial_area,industrial_area,railway_station_count,bicycle_lane_length,bus_station_count,start_count,end_count
"POLYGON ((121.1813943113648 30.98691269999999, 121.1813943113648 31.01771221189863, 121.1454617 31.01771221189863, 121.1454617 30.98691269999999, 121.1813943113648 30.98691269999999))",1,50336.96768354868,0,562347.5633722305,0.0,3289270.592271635,0,0.0,17,1,1
"POLYGON ((121.1813943113648 31.01771221189863, 121.1813943113648 31.04850177197812, 121.1454617 31.04850177197812, 121.1454617 31.01771221189863, 121.1813943113648 31.01771221189863))",10,62032.40408534861,2,2045154.2286466844,377636.5224102108,12515950.771673106,0,0.0,58,1,1
"POLYGON ((121.1813943113648 31.04850177197812, 121.1813943113648 31.07928137456562, 121.1454617 31.07928137456562, 121.1454617 31.04850177197812, 121.1813943113648 31.04850177197812))",0,49864.40560466245,0,817587.9322462219,348908.1048402977,386868.9016461974,0,4134.094785631323,23,1,1
"POLYGON ((121.1813943113648 31.07928137456562, 121.1813943113648 31.11005101400166, 121.1454617 31.11005101400166, 121.1454617 31.07928137456562, 121.1813943113648 31.07928137456562))",0,33740.49110125344,1,3207254.822643707,52330.775231851774,0.0,0,1350.2682699300829,50,1,1
"POLYGON ((121.1813943113648 31.11005101400166, 121.1813943113648 31.14081068464005, 121.1454617 31.14081068464005, 121.1454617 31.11005101400166, 121.1813943113648 31.11005101400166))",0,31957.13640010627,0,58278.05196171669,0.0,714749.5420672987,0,1309.766112422573,19,1,1
"POLYGON ((121.1813943113648 31.14081068464005, 121.1813943113648 31.17156038084794, 121.1454617 31.17156038084794, 121.1454617 31.14081068464005, 121.1813943113648 31.14081068464005))",14,75181.48198971259,1,1388982.4506612937,270578.5341923053,6856906.831491918,1,17651.1641310163,119,1,1
"POLYGON ((121.1813943113648 31.17156038084794, 121.1813943113648 31.2023000970058, 121.1454617 31.2023000970058, 121.1454617 31.17156038084794, 121.1813943113648 31.17156038084794))",4,87365.51060742486,0,609947.1242388941,19471.823275532923,7720390.838391871,1,0.0,48,1,1
"POLYGON ((121.1813943113648 31.2023000970058, 121.1813943113648 31.23302982750743, 121.1454617 31.23302982750743, 121.1454617 31.2023000970058, 121.1813943113648 31.2023000970058))",0,47560.14881469208,1,283755.05275182787,0.0,0.0,0,0.0,35,1,1
"POLYGON ((121.1813943113648 31.23302982750743, 121.1813943113648 31.26374956675991, 121.1454617 31.26374956675991, 121.1454617 31.23302982750743, 121.1813943113648 31.23302982750743))",0,24031.491781471064,3,1060562.7805596406,27993.8088008334,952858.3553450648,0,0.0,36,1,1
"POLYGON ((121.1813943113648 31.26374956675991, 121.1813943113648 31.29445930918367, 121.1454617 31.29445930918367, 121.1454617 31.26374956675991, 121.1813943113648 31.26374956675991))",10,78622.99579783503,50,3249784.6133266105,740792.5929141964,1154219.4323873967,1,5592.379115345747,46,1,1
