geometry,crossroad_count,road_length,shop_count,residential_area,commercial_area,industrial_area,start_count,end_count
"POLYGON ((121.1544448528412 30.98691269999999, 121.1544448528412 30.99461351064697, 121.1454617 30.99461351064697, 121.1454617 30.98691269999999, 121.1544448528412 30.98691269999999))",0,0.0,0,114659.5102,0.0,0.0,1,1
"POLYGON ((121.1544448528412 30.99461351064697, 121.1544448528412 31.00231369957163, 121.1454617 31.00231369957163, 121.1454617 30.99461351064697, 121.1544448528412 30.99461351064697))",1,6904.612615,0,0.0,0.0,524382.3526,1,1
"POLYGON ((121.1544448528412 31.00231369957163, 121.1544448528412 31.01001326668513, 121.1454617 31.01001326668513, 121.1454617 31.00231369957163, 121.1544448528412 31.00231369957163))",0,7990.238326,0,87.61883161,0.0,488152.9227,1,1
"POLYGON ((121.1544448528412 31.01001326668513, 121.1544448528412 31.01771221189863, 121.1454617 31.01771221189863, 121.1454617 31.01001326668513, 121.1544448528412 31.01001326668513))",0,17729.98691,0,0.0,0.0,64433.38498,1,1
"POLYGON ((121.1544448528412 31.01771221189863, 121.1544448528412 31.02541053512337, 121.1454617 31.02541053512337, 121.1454617 31.01771221189863, 121.1544448528412 31.01771221189863))",0,8200.373761,0,0.0,0.0,919756.3599,1,1
"POLYGON ((121.1544448528412 31.02541053512337, 121.1544448528412 31.03310823627063, 121.1454617 31.03310823627063, 121.1454617 31.02541053512337, 121.1544448528412 31.02541053512337))",0,7048.173969,2,10800.72604,6027.83942,1329479.91,1,1
"POLYGON ((121.1544448528412 31.03310823627063, 121.1544448528412 31.04080531525175, 121.1454617 31.04080531525175, 121.1454617 31.03310823627063, 121.1544448528412 31.03310823627063))",0,5966.534296,0,17987.28558,26791.49319,1607162.27,1,1
"POLYGON ((121.1544448528412 31.04080531525175, 121.1544448528412 31.04850177197812, 121.1454617 31.04850177197812, 121.1454617 31.04080531525175, 121.1544448528412 31.04080531525175))",0,6234.184447,0,0.0,0.0,1164429.041,1,1
"POLYGON ((121.1544448528412 31.04850177197812, 121.1544448528412 31.05619760636117, 121.1454617 31.05619760636117, 121.1454617 31.04850177197812, 121.1544448528412 31.04850177197812))",0,4901.470666,0,0.0,0.0,116767.8422,1,1
"POLYGON ((121.1544448528412 31.05619760636117, 121.1544448528412 31.0638928183124, 121.1454617 31.0638928183124, 121.1454617 31.05619760636117, 121.1544448528412 31.05619760636117))",0,9822.598244,0,104895.8667,165046.3721,0.0,1,1
"POLYGON ((121.1544448528412 31.0638928183124, 121.1544448528412 31.07158740774336, 121.1454617 31.07158740774336, 121.1454617 31.0638928183124, 121.1544448528412 31.0638928183124))",0,2552.120269,0,179741.4604,0.0,0.0,1,1
"POLYGON ((121.1544448528412 31.07158740774336, 121.1544448528412 31.07928137456562, 121.1454617 31.07928137456562, 121.1454617 31.07158740774336, 121.1544448528412 31.07158740774336))",0,2706.000095,0,6515.956276,0.0,0.0,1,1
"POLYGON ((121.1544448528412 31.07928137456562, 121.1544448528412 31.08697471869087, 121.1454617 31.08697471869087, 121.1454617 31.07928137456562, 121.1544448528412 31.07928137456562))",0,3462.8102,0,0.0,0.0,0.0,1,1
"POLYGON ((121.1544448528412 31.08697471869087, 121.1544448528412 31.09466744003078, 121.1454617 31.09466744003078, 121.1454617 31.08697471869087, 121.1544448528412 31.08697471869087))",0,0.0,0,87078.5183,0.0,0.0,1,1
"POLYGON ((121.1544448528412 31.09466744003078, 121.1544448528412 31.10235953849711, 121.1454617 31.10235953849711, 121.1454617 31.09466744003078, 121.1544448528412 31.09466744003078))",0,0.0,0,79760.5524,0.0,0.0,1,1
"POLYGON ((121.1544448528412 31.10235953849711, 121.1544448528412 31.11005101400166, 121.1454617 31.11005101400166, 121.1454617 31.10235953849711, 121.1544448528412 31.10235953849711))",0,0.0,0,26213.48593,0.0,0.0,1,1
"POLYGON ((121.1544448528412 31.11005101400166, 121.1544448528412 31.1177418664563, 121.1454617 31.1177418664563, 121.1454617 31.11005101400166, 121.1544448528412 31.11005101400166))",0,2866.576882,0,0.0,0.0,92766.89187,1,1
"POLYGON ((121.1544448528412 31.1177418664563, 121.1544448528412 31.12543209577293, 121.1454617 31.12543209577293, 121.1454617 31.1177418664563, 121.1544448528412 31.1177418664563))",0,0.0,0,0.0,0.0,0.0,1,1
"POLYGON ((121.1544448528412 31.12543209577293, 121.1544448528412 31.13312170186351, 121.1454617 31.13312170186351, 121.1454617 31.12543209577293, 121.1544448528412 31.12543209577293))",0,0.0,0,0.0,0.0,0.0,1,1
"POLYGON ((121.1544448528412 31.13312170186351, 121.1544448528412 31.14081068464005, 121.1454617 31.14081068464005, 121.1454617 31.13312170186351, 121.1544448528412 31.13312170186351))",0,2439.088544,0,31075.00721,0.0,0.0,1,1
"POLYGON ((121.1544448528412 31.14081068464005, 121.1544448528412 31.14849904401462, 121.1454617 31.14849904401462, 121.1454617 31.14081068464005, 121.1544448528412 31.14081068464005))",0,10034.97025,0,303008.9596,0.0,0.0,1,1
"POLYGON ((121.1544448528412 31.14849904401462, 121.1544448528412 31.15618677989934, 121.1454617 31.15618677989934, 121.1454617 31.14849904401462, 121.1544448528412 31.14849904401462))",6,12092.59763,0,168859.897,0.0,0.0,1,1
"POLYGON ((121.1544448528412 31.15618677989934, 121.1544448528412 31.16387389220637, 121.1454617 31.16387389220637, 121.1454617 31.15618677989934, 121.1544448528412 31.15618677989934))",0,8090.804903,1,302328.8848,0.0,0.0,1,1
"POLYGON ((121.1544448528412 31.16387389220637, 121.1544448528412 31.17156038084794, 121.1454617 31.17156038084794, 121.1454617 31.16387389220637, 121.1544448528412 31.16387389220637))",0,6876.160404,0,238451.8558,0.0,52465.24477,1,1
"POLYGON ((121.1544448528412 31.17156038084794, 121.1544448528412 31.17924624573631, 121.1454617 31.17924624573631, 121.1454617 31.17156038084794, 121.1544448528412 31.17156038084794))",0,22306.35302,0,0.0,0.0,13069.74846,1,1
